"country_name","cowcode","year","v2x_polyarchy","v2elparlel","v2lgbicam","v2jureview","v2csstruc_0","v2csstruc_1","v2csstruc_2","v2csstruc_3","v2x_feduni","v2x_divparctrl","e_v2xlg_legcon_5C","v2xcl_rol","lvaw_garriga"
"Bolivia",145,1990,0.666,NA,2,0.383,0,0.25,0.75,0,0.357,1.078,0.5,0.738,0.30237502
"Bolivia",145,1991,0.701,NA,2,0.383,0,0.25,0.75,0,0.357,1.078,0.5,0.757,0.30237502
"Bolivia",145,1992,0.716,NA,2,0.383,0,0.25,0.75,0,0.357,1.078,0.5,0.757,0.30237502
"Bolivia",145,1993,0.727,1,2,0.383,0,0.25,0.75,0,0.357,1.078,0.5,0.757,0.30237502
"Bolivia",145,1994,0.736,NA,2,1.908,0,0,1,0,0.393,1.078,0.5,0.761,0.30237502
"Bolivia",145,1995,0.749,NA,2,1.908,0,0,1,0,0.418,1.078,0.5,0.761,0.7970263
"Bolivia",145,1996,0.749,NA,2,1.908,0,0,1,0,0.418,1.078,0.5,0.761,0.7970263
"Bolivia",145,1997,0.752,2,2,1.908,0,0,1,0,0.418,1.078,0.75,0.771,0.7970263
"Bolivia",145,1998,0.749,NA,2,1.908,0,0,1,0,0.418,1.078,0.75,0.771,0.7970263
"Bolivia",145,1999,0.758,NA,2,1.908,0,0,1,0,0.418,1.078,0.75,0.78,0.7970263
"Bolivia",145,2000,0.758,NA,2,1.908,0,0,1,0,0.418,1.341,0.75,0.78,0.7970263
"Bolivia",145,2001,0.752,NA,2,1.908,0,0,1,0,0.418,1.341,0.75,0.78,0.7970263
"Bolivia",145,2002,0.74,2,2,1.908,0,0,1,0,0.418,1.341,0.75,0.78,0.7970263
"Bolivia",145,2003,0.735,NA,2,1.908,0,0,1,0,0.418,1.341,0.75,0.771,0.7970263
"Bolivia",145,2004,0.766,NA,2,1.908,0,0,1,0,0.432,1.587,0.75,0.776,0.7970263
"Bolivia",145,2005,0.76,2,2,1.908,0,0.267,0.733,0,0.724,1.463,0.75,0.751,0.7970263
"Bolivia",145,2006,0.739,NA,2,1.908,0,0.375,0.562,0.062,0.809,-1.433,0.5,0.751,0.7970263
"Bolivia",145,2007,0.73,NA,2,1.908,0,0.333,0.6,0.067,0.809,-1.381,0.5,0.748,0.7970263
"Bolivia",145,2008,0.73,NA,2,1.908,0,0.4,0.533,0.067,0.809,-1.381,0.5,0.746,0.7970263
"Bolivia",145,2009,0.729,2,2,1.908,0,0.4,0.533,0.067,0.83,-1.235,0.5,0.752,0.7970263
"Bolivia",145,2010,0.691,NA,2,1.908,0,0.438,0.438,0.125,0.895,-1.083,0.5,0.766,0.7970263
"Bolivia",145,2011,0.692,NA,2,1.908,0,0.438,0.5,0.062,0.895,-1.083,0.5,0.766,0.7970263
"Bolivia",145,2012,0.684,NA,2,1.908,0,0.438,0.5,0.062,0.895,-1.361,0.5,0.756,0.7970263
"Bolivia",145,2013,0.674,NA,2,1.908,0,0.5,0.429,0.071,0.895,-0.678,0.5,0.762,NA
"Bolivia",145,2014,0.661,2,2,1.908,0,0.5,0.429,0.071,0.895,-0.678,0.5,0.762,NA
"Bolivia",145,2015,0.63,NA,2,1.908,0,0.583,0.333,0.083,0.875,-0.476,0.5,0.77,NA
"Bolivia",145,2016,0.629,NA,2,1.908,0,0.583,0.333,0.083,0.875,-0.476,0.5,0.764,NA
"Bolivia",145,2017,0.629,NA,2,1.908,0,0.545,0.455,0,0.875,-0.476,0.25,0.765,NA
"Bolivia",145,2018,0.606,NA,2,0.767,0,0.545,0.455,0,0.875,-0.476,0.25,0.779,NA
"Bolivia",145,2019,0.553,2,2,1.746,0,0.6,0.4,0,0.888,-1.386,0.25,0.731,NA
"Bolivia",145,2020,0.327,2,2,1.746,0,0.625,0.375,0,0.888,1.642,0.75,0.649,NA
"Bolivia",145,2021,0.619,NA,2,1.746,0,0.571,0.429,0,0.87,-1.229,0.25,0.786,NA
"Botswana",571,1990,0.69,NA,1,1.854,0,0.2,0.8,0,0.483,-0.297,0.75,0.869,0.32725
"Botswana",571,1991,0.69,NA,1,1.854,0,0.2,0.8,0,0.483,-0.297,0.75,0.869,0.32725
"Botswana",571,1992,0.69,NA,1,1.854,0,0.2,0.8,0,0.483,-0.297,0.75,0.869,0.32725
"Botswana",571,1993,0.69,NA,1,1.854,0,0.2,0.8,0,0.483,-0.297,0.75,0.869,0.32725
"Botswana",571,1994,0.684,0,1,1.854,0,0.2,0.8,0,0.483,-0.297,1,0.869,0.32725
