"country_name","v2x_polyarchy","v2x_libdem","v2x_feduni","v2x_divparctrl","v2jureview","d_bicam","v2xcl_rol","e_gdppc","lvaw_garriga","ind_cso"
"Ivory Coast",0.4183125,0.28309375,0.66634375,-0.6519375,1.056125,0.133333333333333,0.71478125,2.6656,0.8015,0.5078125
"Jamaica",0.7313125,0.60878125,0.491,-0.876,0.92384375,1,0.8495625,6.88816666666667,0.3830139,0.5696875
"Japan",0.83971875,0.7543125,0.994,0.07903125,1.54,1,0.9714375,35.6727666666667,0.356682545217391,0.515625
"Jordan",0.23984375,0.20390625,0.0754375,1.37765625,0.65434375,1,0.703625,6.35196666666667,0.482625,0.3725
"Kazakhstan",0.258451612903226,0.134612903225806,0.03240625,-0.8303125,0.9319375,0.8125,0.6275625,14.295,0.464396862,0.269375
"Kenya",0.40515625,0.29384375,0.51909375,0.5891875,1.090375,0.28125,0.5308125,2.45033333333333,0.508646758695652,0.486875
"Kosovo",0.486260869565217,0.337478260869565,0.399173913043478,1.08978260869565,1.41091304347826,0,0.633434782608696,5.62547619047619,NA,0.389565217391304
"Kuwait",0.28521875,0.26940625,0,0.794,1.684,0,0.67403125,48.3983666666667,0.410375,0.5759375
"Kyrgyzstan",0.3535625,0.222625,0.23840625,-0.37871875,1.15,0.3125,0.6326875,3.72816666666667,0.5620695,0.270625
"Laos",0.09553125,0.079,0.4600625,-0.314,-2.323,0,0.12790625,3.17493333333333,0.241125,0.6075
"Latvia",0.7928125,0.69290625,0.488375,0.1556875,1.189625,0,0.93896875,16.8233333333333,0.692849204761905,0.5159375
"Lebanon",0.41203125,0.2480625,0.21525,1.2191875,0.131,0,0.58271875,9.2534,0.4,0.390625
"Lesotho",0.4864375,0.37534375,0.2325625,0.4901875,0.9093125,0.90625,0.771375,2.33343333333333,0.681,0.523125
"Liberia",0.43990625,0.3206875,0,0.000281250000000004,1.71975,0.6875,0.5714375,0.8358,0.533125,0.5625
"Libya",0.14871875,0.0908125,0.0898125,-0.2985,-0.9499375,0,0.14059375,14.1415666666667,0.291000008,0.4965625
"Lithuania",0.82865625,0.76821875,0.482125,0.35278125,0.36928125,0,0.94853125,17.889,0.603267857142857,0.51625
"Luxembourg",0.87534375,0.78390625,0.441,-0.406,1.2235625,0,0.98115625,69.8524333333333,0.672156754782609,0.2678125
"Madagascar",0.43365625,0.2349375,0.3805625,0.8959375,0.12546875,0.933333333333333,0.58084375,1.22933333333333,0.7301842,0.4828125
"Malawi",0.46953125,0.37209375,0.17096875,-0.65440625,0.9531875,0,0.6795,1.13023333333333,0.393,0.52
"Malaysia",0.30621875,0.1991875,0.4629375,-0.127375,0.466,1,0.5980625,17.2452333333333,0.468853273913043,0.566875
"Maldives",0.31815625,0.1695,0.2343125,-0.64425,-0.2799375,0,0.4189375,10.0372,0.418918754782609,0.6171875
"Mali",0.50625,0.36178125,0.38609375,0.5755625,1.16,0,0.69465625,1.586,0.8015,0.209375
